"Group.1" "x"
"1" 0 1249.40268296616
"2" 1 3244.92349169952
"3" 2 2994.69505920348
"4" 3 4117.43213212852
"5" 4 2778.48091796966
"6" 5 2710.10462581543
"7" 6 3052.25399199414
"8" 7 3170.1887449588
"9" 8 3388.84916691907
"10" 9 3424.51939233655
"11" 10 4086.24803419737
"12" 11 4341.64827573594
"13" 12 4784.35628193016
"14" 13 4927.13138903158
"15" 14 5988.6900685733
"16" 15 6078.8546106192
"17" 16 5907.89208185512
"18" 17 6398.87969926283
"19" 18 6281.7337672099
"20" 19 7349.60668575704
"21" 20 7207.00070981548
"22" 21 7017.59950883607
"23" 22 6256.55616057339
"24" 23 6405.74358986481
"25" 24 6573.71721244887
"26" 25 6675.90453943019
"27" 26 6931.16611117183
"28" 27 5210.27969105454
"29" 28 4751.72064359882
"30" 29 4576.63218118861
"31" 30 4681.78138693144
"32" 31 5129.43859681579
"33" 32 5629.80790070819
"34" 33 6156.94882088016
"35" 34 6145.21432578596
"36" 35 6503.78914242017
"37" 36 6159.73273956841
"38" 37 7108.1890524649
"39" 38 7248.91675617747
"40" 39 7817.17391802879
"41" 40 7536.16703393963
"42" 41 7468.54151680518
"43" 42 7156.2978650617
"44" 43 7664.06332253354
"45" 44 7858.63420380257
"46" 45 8323.84555317051
"47" 46 8589.80808932521
"48" 47 8938.48289403058
"49" 48 8938.95856448762
"50" 49 8738.68304818682
"51" 50 9275.24596457141
"52" 51 10134.0313718627
"53" 52 10751.723383739
"54" 53 11281.8283416146
"55" 54 11271.455362459
"56" 55 7485.16427938691
"57" 56 5916.72695926471
"58" 57 5822.68943203761
"59" 58 5435.41605928749
"60" 59 5783.94700470517
"61" 60 6159.86127436617
"62" 61 6527.40750415573
"63" 62 6574.1440269555
"64" 63 6821.5138178161
"65" 64 7462.02771727916
"66" 65 7445.54826216628
"67" 66 7160.51529908886
"68" 67 7362.91944942873
"69" 68 7623.68932484185
"70" 69 5491.17142155238
"71" 70 4563.23588320312
"72" 71 4617.77276800263
"73" 72 4646.68566880928
"74" 73 4276.37374802235
"75" 74 4307.01862398153
"76" 75 3390.02378920271
"77" 76 194.976728983765
"78" 77 0
"79" 78 0
"80" 79 0
"81" 80 0
"82" 81 0
"83" 82 0
"84" 83 0
"85" 84 0
"86" 85 0
"87" 86 0
"88" 87 0
"89" 88 0
"90" 89 0
"91" 90 0
"92" 91 0
"93" 92 0
"94" 93 0
"95" 94 0
"96" 95 2138.03082724082
"97" 96 2528.04954956334
"98" 97 1698.22631276602
"99" 98 2125.57835623838
"100" 99 1434.14677145083
"101" 100 1603.74908060884
"102" 101 1635.02847988291
"103" 102 1960.40099822869
"104" 103 2580.29719574854
"105" 104 3067.67483711771
"106" 105 3201.73603028636
"107" 106 3364.53389696704
"108" 107 3818.31444610001
"109" 108 4137.14875397054
"110" 109 4459.50384883154
"111" 110 4608.13624087426
"112" 111 5293.33088164841
"113" 112 5659.30380131742
"114" 113 6113.1845868989
"115" 114 6262.13007461731
"116" 115 6607.53921750622
"117" 116 6529.94432865519
"118" 117 5800.64600819631
"119" 118 5630.44057537183
"120" 119 5109.22360280253
"121" 120 5102.22056921007
"122" 121 5553.56377148354
"123" 122 5568.83509700982
"124" 123 5780.33971355397
"125" 124 6102.81756134458
"126" 125 6352.54970111491
"127" 126 7547.89621819958
"128" 127 7715.06540142017
"129" 128 7404.44483393949
"130" 129 7644.93526884835
"131" 130 7762.34585412912
"132" 131 8743.77445700537
"133" 132 8398.24812319673
"134" 133 8309.071356167
"135" 134 7930.73424801516
"136" 137 8012.18971146503
"137" 138 7940.12428461004
"138" 139 8539.762180871
"139" 140 9364.79852828076
"140" 141 9082.49843303631
"141" 142 10301.2885904054
"142" 143 10706.9508445629
"143" 144 11299.1932429045
"144" 145 8093.85462005015
"145" 146 6668.80953640225
"146" 147 6857.66580326509
"147" 148 5918.0939640166
"148" 149 6115.81354065263
"149" 150 6101.7766056829
"150" 151 6588.03793670393
"151" 152 7135.56040565155
"152" 153 7819.79253035667
"153" 154 8019.40952098321
"154" 155 8262.24321941893
"155" 156 8137.41978983885
"156" 157 8012.89641041223
"157" 158 8136.63584532038
"158" 159 7692.75210295128
"159" 160 5577.12942157387
"160" 161 4142.60090755843
"161" 162 4465.41858244971
"162" 163 4672.48010986215
"163" 164 4683.21021625268
"164" 165 4882.38045692061
"165" 166 5264.09015124193
"166" 167 6274.56864695169
"167" 168 6741.44253721434
"168" 169 7298.74412678355
"169" 170 7884.55486160366
"170" 171 8181.19794312473
"171" 172 17196.0818088267
"172" 173 17250.4259583274
"173" 174 3781.48225474426
"174" 175 3710.50764737533
"175" 176 3570.30135686883
"176" 177 3910.99723947605
"177" 178 4055.94821505009
"178" 179 3993.86689985177
"179" 183 0
"180" 184 0
"181" 185 0
"182" 186 1348.64919881565
"183" 187 2767.27907034701
"184" 188 2900.48470355991
"185" 189 7027.39218718814
"186" 190 4687.5356004767
"187" 191 3184.15889774205
"188" 192 3620.45879359715
"189" 193 3808.30450144118
"190" 194 3413.71446877359
"191" 195 3590.3590635556
"192" 196 4054.55376109012
"193" 197 3499.58524089241
"194" 198 4636.69356222078
"195" 199 5434.57427867071
"196" 200 5100.07143671912
"197" 201 4233.26928914836
"198" 202 4538.5867677849
"199" 203 4795.6820859293
"200" 204 4982.59658928887
"201" 205 10224.2025184093
"202" 206 11342.5192524721
"203" 207 11280.815672482
"204" 208 9197.74865370488
"205" 209 7556.72458517009
"206" 210 5362.67192613221
"207" 211 4867.68465847694
"208" 212 4307.46880107726
"209" 213 4278.74647066905
"210" 214 4691.54057428766
"211" 215 4792.67705313168
"212" 216 4698.29871252907
"213" 217 4208.30556231037
"214" 218 4508.26441971685
"215" 219 4710.98217091223
"216" 220 4697.06564839405
"217" 221 4595.80771952312
"218" 222 4444.80763666304
"219" 223 5024.09607794347
"220" 224 5451.54367078738
"221" 225 5504.07585084638
"222" 226 5926.26641165947
"223" 227 6416.46115830312
"224" 228 6593.00712605417
"225" 229 6965.9040638968
"226" 230 7089.78485158712
"227" 231 7277.13103292315
"228" 232 7551.60694607808
"229" 233 7474.821429506
"230" 234 7419.37290803386
"231" 235 7854.44635569435
"232" 236 6828.79309831315
"233" 237 7114.41691611705
"234" 238 7876.72256551013
"235" 239 7065.21091105543
"236" 240 7804.56368550393
"237" 241 7557.97582873042
"238" 242 8298.2742504884
"239" 243 7717.9100299405
"240" 244 8709.69950905267
"241" 249 8221.27397584178
"242" 250 5506.58462546828
"243" 251 5487.01491457597
"244" 252 5165.83447690805
"245" 253 5435.79827975579
"246" 254 4974.94545533468
"247" 255 5300.6463400162
"248" 256 5630.53149831167
"249" 257 5994.076361911
"250" 258 6301.71740479622
"251" 259 6362.67714433014
"252" 260 6408.49575577229
"253" 261 6743.59527033395
"254" 262 6658.79270283228
"255" 263 7080.66428755617
"256" 264 6919.80492760669
"257" 265 6702.42840206022
"258" 266 7416.76773074679
"259" 267 8081.33502381018
"260" 268 7138.70323502907
"261" 269 6957.03869367187
"262" 270 7172.4739910187
"263" 271 7188.74192255498
"264" 272 5664.43956379175
